datetime,open,high,low,close,volume,adj_close
2015-07-13 00:00:00+00:00,0.95,0.987,0.902,0.958,52934368,0.958
2015-07-14 00:00:00+00:00,0.97,0.975,0.953,0.967,28642346,0.967
2015-07-15 00:00:00+00:00,0.963,0.98,0.96,0.963,16483791,0.963
2015-07-16 00:00:00+00:00,0.963,0.97,0.961,0.966,10938713,0.966
2015-07-17 00:00:00+00:00,0.968,0.999,0.968,0.989,6495588,0.989
2015-07-20 00:00:00+00:00,0.988,0.997,0.981,0.99,5619749,0.99
2015-07-21 00:00:00+00:00,0.988,0.995,0.988,0.994,16217489,0.994
2015-07-22 00:00:00+00:00,0.99,1.002,0.99,1.002,15820528,1.002
2015-07-23 00:00:00+00:00,1.004,1.008,0.998,1.006,23314852,1.006
2015-07-24 00:00:00+00:00,1.001,1.011,1.001,1.007,8040016,1.007
2015-07-27 00:00:00+00:00,0.999,1.001,0.983,0.993,13662368,0.993
2015-07-28 00:00:00+00:00,0.992,0.992,0.95,0.978,1670835,0.978
2015-07-29 00:00:00+00:00,0.979,0.991,0.979,0.988,2921102,0.988
2015-07-30 00:00:00+00:00,0.993,0.993,0.986,0.988,574012,0.988
2015-07-31 00:00:00+00:00,0.988,1.0,0.985,0.985,1936861,0.985
2015-08-03 00:00:00+00:00,0.995,0.995,0.98,0.991,5462692,0.991
2015-08-04 00:00:00+00:00,0.987,0.993,0.987,0.988,480116,0.988
2015-08-05 00:00:00+00:00,0.986,0.993,0.985,0.986,1221429,0.986
2015-08-06 00:00:00+00:00,0.988,0.996,0.988,0.991,597830,0.991
2015-08-07 00:00:00+00:00,0.985,0.987,0.978,0.98,1156902,0.98
2015-08-10 00:00:00+00:00,0.979,0.979,0.972,0.975,1042535,0.975
2015-08-11 00:00:00+00:00,0.983,1.01,0.983,1.004,5932251,1.004
2015-08-12 00:00:00+00:00,0.997,1.01,0.989,0.992,4551026,0.992
2015-08-13 00:00:00+00:00,0.996,1.01,0.995,0.999,5084980,0.999
2015-08-14 00:00:00+00:00,0.991,1.01,0.991,1.0,3241720,1.0
2015-08-17 00:00:00+00:00,0.998,0.998,0.992,0.993,637505,0.993
2015-08-18 00:00:00+00:00,0.997,1.002,0.996,0.998,2236525,0.998
2015-08-19 00:00:00+00:00,0.997,0.997,0.989,0.995,605610,0.995
2015-08-20 00:00:00+00:00,0.989,0.989,0.979,0.989,1757013,0.989
2015-08-21 00:00:00+00:00,0.968,0.968,0.943,0.944,1735213,0.944
2015-08-24 00:00:00+00:00,0.9,0.912,0.856,0.862,2819975,0.862
2015-08-25 00:00:00+00:00,0.83,0.88,0.786,0.855,4623823,0.855
2015-08-26 00:00:00+00:00,0.855,0.878,0.845,0.86,2331668,0.86
2015-08-27 00:00:00+00:00,0.897,0.9,0.89,0.899,296304,0.899
2015-08-28 00:00:00+00:00,0.919,0.925,0.916,0.921,1340092,0.921
2015-08-31 00:00:00+00:00,0.921,0.937,0.92,0.929,1085163,0.929
2015-09-01 00:00:00+00:00,0.916,0.925,0.903,0.909,1492200,0.909
2015-09-02 00:00:00+00:00,0.88,0.9,0.88,0.898,328700,0.898
2015-09-07 00:00:00+00:00,0.896,0.912,0.896,0.91,406303,0.91
2015-09-08 00:00:00+00:00,0.917,0.917,0.905,0.915,197300,0.915
2015-09-09 00:00:00+00:00,0.939,0.939,0.918,0.92,560600,0.92
2015-09-10 00:00:00+00:00,0.914,0.918,0.914,0.914,373000,0.914
2015-09-11 00:00:00+00:00,0.919,0.93,0.919,0.92,3059384,0.92
2015-09-14 00:00:00+00:00,0.932,0.935,0.929,0.929,937380,0.929
2015-09-15 00:00:00+00:00,0.932,0.932,0.9,0.912,590400,0.912
2015-09-16 00:00:00+00:00,0.935,0.942,0.935,0.94,984438,0.94
2015-09-17 00:00:00+00:00,0.945,0.945,0.939,0.941,1679001,0.941
2015-09-18 00:00:00+00:00,0.945,0.951,0.945,0.948,921012,0.948
2015-09-21 00:00:00+00:00,0.927,0.933,0.927,0.933,166500,0.933
2015-09-22 00:00:00+00:00,0.937,0.941,0.931,0.935,1081708,0.935
2015-09-23 00:00:00+00:00,0.922,0.926,0.913,0.926,310400,0.926
2015-09-24 00:00:00+00:00,0.92,0.92,0.915,0.915,5011104,0.915
2015-09-25 00:00:00+00:00,0.891,0.916,0.891,0.915,309436,0.915
2015-09-28 00:00:00+00:00,0.908,0.908,0.902,0.906,352200,0.906
2015-09-29 00:00:00+00:00,0.868,0.877,0.868,0.871,1524912,0.871
2015-09-30 00:00:00+00:00,0.874,0.878,0.873,0.878,822654,0.878
2015-10-08 00:00:00+00:00,0.956,0.956,0.919,0.924,1122840,0.924
2015-10-09 00:00:00+00:00,0.928,0.93,0.923,0.927,832600,0.927
2015-10-12 00:00:00+00:00,0.928,0.931,0.924,0.929,661001,0.929
2015-10-13 00:00:00+00:00,0.927,0.933,0.927,0.93,418708,0.93
2015-10-14 00:00:00+00:00,0.93,0.93,0.927,0.929,288412,0.929
2015-10-15 00:00:00+00:00,0.927,0.931,0.925,0.926,614917,0.926
2015-10-16 00:00:00+00:00,0.934,0.942,0.934,0.941,690309,0.941
2015-10-19 00:00:00+00:00,0.939,0.944,0.939,0.942,662000,0.942
2015-10-20 00:00:00+00:00,0.945,0.953,0.944,0.949,1302424,0.949
2015-10-21 00:00:00+00:00,0.949,0.953,0.945,0.945,1277005,0.945
2015-10-22 00:00:00+00:00,0.94,0.944,0.938,0.94,209700,0.94
2015-10-23 00:00:00+00:00,0.95,0.978,0.95,0.97,3145818,0.97
2015-10-26 00:00:00+00:00,0.99,0.991,0.983,0.985,802101,0.985
2015-10-27 00:00:00+00:00,0.965,0.986,0.965,0.983,788005,0.983
2015-10-28 00:00:00+00:00,0.986,0.989,0.986,0.989,1487816,0.989
2015-10-29 00:00:00+00:00,0.995,1.0,0.993,0.997,947239,0.997
2015-10-30 00:00:00+00:00,0.995,0.998,0.994,0.996,623952,0.996
2015-11-02 00:00:00+00:00,0.989,0.989,0.986,0.986,305133,0.986
2015-11-03 00:00:00+00:00,1.0,1.002,0.999,0.999,844349,0.999
2015-11-04 00:00:00+00:00,0.989,1.001,0.989,1.0,1108600,1.0
2015-11-05 00:00:00+00:00,0.988,0.998,0.982,0.994,469500,0.994
2015-11-06 00:00:00+00:00,0.995,1.0,0.994,1.0,409611,1.0
2015-11-09 00:00:00+00:00,1.0,1.006,0.994,1.002,6001161,1.002
2015-11-10 00:00:00+00:00,0.994,0.995,0.992,0.992,299559,0.992
2015-11-11 00:00:00+00:00,0.992,0.992,0.987,0.99,140104,0.99
2015-11-12 00:00:00+00:00,0.985,0.995,0.984,0.989,216808,0.989
2015-11-13 00:00:00+00:00,0.988,0.988,0.973,0.986,439002,0.986
2015-11-16 00:00:00+00:00,0.958,0.969,0.958,0.969,24700,0.969
2015-11-17 00:00:00+00:00,0.979,0.985,0.975,0.977,267800,0.977
2015-11-18 00:00:00+00:00,0.976,0.978,0.97,0.978,71500,0.978
2015-11-19 00:00:00+00:00,0.988,1.0,0.988,1.0,453610,1.0
2015-11-20 00:00:00+00:00,0.999,0.999,0.989,0.998,125402,0.998
2015-11-23 00:00:00+00:00,0.998,1.002,0.983,1.0,826805,1.0
2015-11-24 00:00:00+00:00,0.997,1.006,0.997,1.005,2020802,1.005
2015-11-25 00:00:00+00:00,0.993,1.0,0.993,0.997,448008,0.997
2015-11-26 00:00:00+00:00,1.0,1.006,1.0,1.003,1108515,1.003
2015-11-27 00:00:00+00:00,1.003,1.009,1.002,1.002,1154344,1.002
2015-11-30 00:00:00+00:00,1.006,1.006,0.995,0.999,322609,0.999
2015-12-01 00:00:00+00:00,0.998,1.008,0.998,1.006,1725878,1.006
2015-12-02 00:00:00+00:00,1.008,1.018,1.008,1.017,1708281,1.017
