window,interval,ma_period,freeze_days,freeze_bars,raw_flips,regime_flips,trades,return,max_dd,excess_vs_bh
4h_3y,4h,240,0,0,183,183,183,1.9660974831029012,-0.37284804045691833,-1.650329736388226
4h_3y,4h,240,1,6,183,119,119,2.4946780474125534,-0.35119182028113394,-1.121749172078574
4h_3y,4h,240,2,12,183,95,95,2.811129756060946,-0.34681914206780184,-0.8052974634301813
4h_3y,4h,240,3,18,183,79,79,2.7055840435153025,-0.34248225026749035,-0.9108431759758249
4h_3y,4h,240,5,30,183,65,65,2.3153168191603157,-0.3216540079805039,-1.3011104003308116
4h_3y,4h,240,7,42,183,57,57,2.129587134854718,-0.32839930863589684,-1.4868400846364094
4h_3y,4h,240,10,60,183,53,53,1.7885936029195397,-0.4540415752401403,-1.8278336165715876
4h_3y,4h,240,15,90,183,41,41,2.301217701609915,-0.31524467193699923,-1.3152095178812124
4h_3y,4h,240,20,120,183,35,35,2.347308058705061,-0.29826956787073056,-1.2691191607860661
4h_6y,4h,240,0,0,310,310,311,15.791167762486676,-0.3738743889318914,9.216496929906
4h_6y,4h,240,1,6,310,204,205,15.16908603592513,-0.38979387212760996,8.594415203344454
4h_6y,4h,240,2,12,310,158,159,17.494965918960453,-0.4209606062781981,10.920295086379777
4h_6y,4h,240,3,18,310,138,139,20.326357995035007,-0.4235541315391075,13.751687162454331
4h_6y,4h,240,5,30,310,116,117,13.937562439707394,-0.44598492933762557,7.362891607126717
4h_6y,4h,240,7,42,310,106,107,12.593542419661338,-0.39565599779266536,6.018871587080661
4h_6y,4h,240,10,60,310,92,93,11.111385851060069,-0.45404157524014044,4.536715018479392
4h_6y,4h,240,15,90,310,72,73,6.3445942489094875,-0.6292095012321764,-0.2300765836711891
4h_6y,4h,240,20,120,310,64,65,6.252668942197708,-0.5437998169843309,-0.32200189038296845
1h_2y,1h,960,0,0,237,237,237,-0.03399572722587607,-0.40397353456742313,-0.2088268023262213
1h_2y,1h,960,1,24,237,91,91,0.15345773632518833,-0.33072824422379443,-0.021373338775156903
1h_2y,1h,960,2,48,237,73,73,0.11123942466784831,-0.35782683690256356,-0.06359165043249693
1h_2y,1h,960,3,72,237,65,65,-0.049131192791578404,-0.4097873730943268,-0.22396226789192364
1h_2y,1h,960,5,120,237,47,47,0.1999183990737441,-0.30668866654542515,0.025087323973398856
1h_2y,1h,960,7,168,237,35,35,0.5404275114820196,-0.27210447327859366,0.3655964363816744
1h_2y,1h,960,10,240,237,35,35,0.09169711079599141,-0.4064571513032168,-0.08313396430435382
1h_2y,1h,960,15,360,237,29,29,0.07594941315194226,-0.2965587889928124,-0.09888166194840298
1h_2y,1h,960,20,480,237,23,23,0.4204839596716716,-0.29872968589202775,0.2456528845713264
1d_3y,1d,40,0,0,79,79,79,3.2986442679023176,-0.2314850595415222,-0.3119523811075018
1d_3y,1d,40,1,1,79,79,79,3.2986442679023176,-0.2314850595415222,-0.3119523811075018
1d_3y,1d,40,2,2,79,73,73,2.899834316630541,-0.27573863222644013,-0.7107623323792782
1d_3y,1d,40,3,3,79,65,65,2.772957433450689,-0.3069133018688721,-0.8376392155591303
1d_3y,1d,40,5,5,79,57,57,2.7718797754798237,-0.2805599271125382,-0.8387168735299957
1d_3y,1d,40,7,7,79,53,53,2.455972616706502,-0.3064863591491752,-1.1546240323033174
1d_3y,1d,40,10,10,79,47,47,2.3500706650298464,-0.3842559754230256,-1.260525983979973
1d_3y,1d,40,15,15,79,39,39,2.767733138986376,-0.33400056027152214,-0.8428635100234434
1d_3y,1d,40,20,20,79,33,33,3.1156973183541785,-0.32342148301268225,-0.49489933065564085
1d_6y,1d,40,0,0,142,142,143,16.96442110720394,-0.5056196059656918,10.269653277967262
1d_6y,1d,40,1,1,142,142,143,16.96442110720394,-0.5056196059656918,10.269653277967262
1d_6y,1d,40,2,2,142,126,127,17.798745904176563,-0.48595767136141,11.103978074939885
1d_6y,1d,40,3,3,142,114,115,16.2233571531581,-0.48986591140398483,9.528589323921423
1d_6y,1d,40,5,5,142,98,99,18.280137747398737,-0.44734223700253684,11.585369918162058
1d_6y,1d,40,7,7,142,92,93,12.875953572907171,-0.4870197418551707,6.181185743670493
1d_6y,1d,40,10,10,142,84,85,10.090979069903293,-0.5423207051819628,3.3962112406666147
1d_6y,1d,40,15,15,142,68,69,6.771239740659208,-0.5794025009303209,0.07647191142253007
1d_6y,1d,40,20,20,142,60,61,9.803615191964772,-0.52306005480516,3.1088473627280937
