window,exec_interval,signal_interval,signal_mode,signal_ma_period,freeze_days,freeze_bars,freeze_basis,raw_flips,regime_flips,trades,return,max_dd,excess_vs_bh
1h_exec_2y,1h,1h,long_close_signal,960,0,0,signal,237,237,237,-0.03399572722587607,-0.40397353456742313,-0.2088268023262213
1h_exec_2y,1h,1h,exec_close_vs_signal_ma,960,0,0,execution,235,235,235,-0.032548706354983414,-0.4030461579922131,-0.21038707526515799
1h_exec_2y,1h,1h,long_close_signal,960,1,24,signal,237,91,91,0.15345773632518833,-0.33072824422379443,-0.021373338775156903
1h_exec_2y,1h,1h,exec_close_vs_signal_ma,960,1,24,execution,235,91,91,0.15345773632518833,-0.33072824422379443,-0.02438063258498624
1h_exec_2y,1h,1h,long_close_signal,960,2,48,signal,237,73,73,0.11123942466784831,-0.35782683690256356,-0.06359165043249693
1h_exec_2y,1h,1h,exec_close_vs_signal_ma,960,2,48,execution,235,73,73,0.11123942466784831,-0.35782683690256356,-0.06659894424232626
1h_exec_2y,1h,1h,long_close_signal,960,3,72,signal,237,65,65,-0.049131192791578404,-0.4097873730943268,-0.22396226789192364
1h_exec_2y,1h,1h,exec_close_vs_signal_ma,960,3,72,execution,235,65,65,-0.049131192791578404,-0.4097873730943268,-0.22696956170175298
1h_exec_2y,1h,1h,long_close_signal,960,5,120,signal,237,47,47,0.1999183990737441,-0.30668866654542515,0.025087323973398856
1h_exec_2y,1h,1h,exec_close_vs_signal_ma,960,5,120,execution,235,47,47,0.1999183990737441,-0.30668866654542515,0.02208003016356952
1h_exec_2y,1h,1h,long_close_signal,960,7,168,signal,237,35,35,0.5404275114820196,-0.27210447327859366,0.3655964363816744
1h_exec_2y,1h,1h,exec_close_vs_signal_ma,960,7,168,execution,235,35,35,0.5404275114820196,-0.27210447327859366,0.36258914257184505
1h_exec_2y,1h,1h,long_close_signal,960,10,240,signal,237,35,35,0.09169711079599141,-0.4064571513032168,-0.08313396430435382
1h_exec_2y,1h,1h,exec_close_vs_signal_ma,960,10,240,execution,235,35,35,0.09169711079599141,-0.4064571513032168,-0.08614125811418316
1h_exec_2y,1h,1h,long_close_signal,960,15,360,signal,237,29,29,0.07594941315194226,-0.2965587889928124,-0.09888166194840298
1h_exec_2y,1h,1h,exec_close_vs_signal_ma,960,15,360,execution,235,29,29,0.07594941315194226,-0.2965587889928124,-0.10188895575823231
1h_exec_2y,1h,1h,long_close_signal,960,20,480,signal,237,23,23,0.4204839596716716,-0.29872968589202775,0.2456528845713264
1h_exec_2y,1h,1h,exec_close_vs_signal_ma,960,20,480,execution,235,23,23,0.4204839596716716,-0.29872968589202775,0.24264559076149705
1h_exec_2y,1h,4h,long_close_signal,240,0,0,signal,115,115,115,0.03338127057725804,-0.38150129234764296,-0.1414498045230872
1h_exec_2y,1h,4h,exec_close_vs_signal_ma,240,0,0,execution,241,241,241,-0.04732823761610572,-0.41417712414522867,-0.2178951584746791
1h_exec_2y,1h,4h,long_close_signal,240,1,6,signal,115,81,81,0.06057984078785572,-0.36014387810769444,-0.11425123431248951
1h_exec_2y,1h,4h,exec_close_vs_signal_ma,240,1,24,execution,241,93,93,0.0993687794540008,-0.3621123253160188,-0.07119814140457259
1h_exec_2y,1h,4h,long_close_signal,240,2,12,signal,115,65,65,0.11609191856884427,-0.3581998800533991,-0.05873915653150097
1h_exec_2y,1h,4h,exec_close_vs_signal_ma,240,2,48,execution,241,75,75,0.06498161369610322,-0.3845587221563357,-0.10558530716247017
