window,signal_interval,exec_interval,signal_mode,freeze_days,freeze_bars,freeze_basis,return,max_dd,trades
2y,1h,1h,long_close_signal,0,0,signal,0.3409758975671189,-0.4039735345674228,269
2y,1h,1h,exec_close_vs_signal_ma,0,0,execution,0.33570268987419216,-0.40304615799221377,267
2y,1h,1h,long_close_signal,2,48,signal,0.5474406551907414,-0.35782683690256356,85
2y,1h,1h,exec_close_vs_signal_ma,2,48,execution,0.5423272752203785,-0.357826836902563,85
2y,1h,1h,long_close_signal,4,96,signal,0.636777877120698,-0.3243408328674775,61
2y,1h,1h,exec_close_vs_signal_ma,4,96,execution,0.6313692902487367,-0.32434083286747784,61
2y,1h,1h,long_close_signal,5,120,signal,0.6212423119088699,-0.30668866654542526,55
2y,1h,1h,exec_close_vs_signal_ma,5,120,execution,0.6158850609299626,-0.30668866654542504,55
2y,1h,1h,long_close_signal,7,168,signal,0.764012800503322,-0.29819276660464167,43
2y,1h,1h,exec_close_vs_signal_ma,7,168,execution,0.7581837771470448,-0.29819276660464145,43
2y,1h,4h,long_close_signal,0,0,signal,0.4715893693760853,-0.36833463877437933,135
2y,1h,4h,exec_close_vs_signal_ma,0,0,execution,0.4791299463046197,-0.3678452322407223,135
2y,1h,4h,long_close_signal,2,48,signal,0.4395073624522856,-0.39197017636469167,85
2y,1h,4h,exec_close_vs_signal_ma,2,12,execution,0.5813076719728354,-0.345446328637504,75
2y,1h,4h,long_close_signal,4,96,signal,0.5100027856000071,-0.3485182172094208,61
2y,1h,4h,exec_close_vs_signal_ma,4,24,execution,0.6078233352951199,-0.3360806177246307,55
2y,1h,4h,long_close_signal,5,120,signal,0.5286183481887909,-0.31724230312559376,55
2y,1h,4h,exec_close_vs_signal_ma,5,30,execution,0.615221093611064,-0.3216540079805039,49
2y,1h,4h,long_close_signal,7,168,signal,0.6250884333441362,-0.3059471363043734,43
2y,1h,4h,exec_close_vs_signal_ma,7,42,execution,0.49124001316212706,-0.32839930863589684,43
2y,1h,1d,long_close_signal,0,0,signal,0.8439332824216883,-0.22836565297889388,57
2y,1h,1d,exec_close_vs_signal_ma,0,0,execution,0.778129693584837,-0.22843263946814885,61
2y,1h,1d,long_close_signal,2,48,signal,0.5006249253314559,-0.3417177580986369,85
2y,1h,1d,exec_close_vs_signal_ma,2,2,execution,0.774269439210157,-0.24969632630661942,53
2y,1h,1d,long_close_signal,4,96,signal,0.39085040346893773,-0.3105138319356012,61
2y,1h,1d,exec_close_vs_signal_ma,4,4,execution,0.8293273216122907,-0.23698445900208998,41
2y,1h,1d,long_close_signal,5,120,signal,0.45365274786712195,-0.2818867080902496,55
2y,1h,1d,exec_close_vs_signal_ma,5,5,execution,0.6547524087472432,-0.2512506207386309,41
2y,1h,1d,long_close_signal,7,168,signal,0.6915605717160138,-0.30056328268784094,43
2y,1h,1d,exec_close_vs_signal_ma,7,7,execution,0.636898946942186,-0.22810186403482258,39
2y,4h,1h,long_close_signal,0,0,signal,0.4534877321996882,-0.38150129234764285,137
2y,4h,1h,exec_close_vs_signal_ma,0,0,execution,0.31809172049644907,-0.41417712414522845,275
2y,4h,1h,long_close_signal,2,12,signal,0.6206024829156391,-0.35819988005339976,75
2y,4h,1h,exec_close_vs_signal_ma,2,48,execution,0.4852658157378653,-0.38455872215633524,87
2y,4h,1h,long_close_signal,4,24,signal,0.6119542426999789,-0.3447756697397705,55
2y,4h,1h,exec_close_vs_signal_ma,4,96,execution,0.5949939269213851,-0.3286603223018304,61
2y,4h,1h,long_close_signal,5,30,signal,0.6193710077400665,-0.3332958701095592,49
2y,4h,1h,exec_close_vs_signal_ma,5,120,execution,0.6432001320675056,-0.29835874411601704,55
2y,4h,1h,long_close_signal,7,42,signal,0.49507138833722575,-0.3396838593829239,43
2y,4h,1h,exec_close_vs_signal_ma,7,168,execution,0.7219791840053367,-0.29819276660464156,45
2y,4h,4h,long_close_signal,0,0,signal,0.4534877321996882,-0.3728480404569178,137
2y,4h,4h,exec_close_vs_signal_ma,0,0,execution,0.46019637828822124,-0.3674007571693908,137
2y,4h,4h,long_close_signal,2,12,signal,0.6206024829156391,-0.3468191420678025,75
2y,4h,4h,exec_close_vs_signal_ma,2,12,execution,0.6164494129216695,-0.3458534510145992,75
2y,4h,4h,long_close_signal,4,24,signal,0.6119542426999789,-0.3360806177246308,55
2y,4h,4h,exec_close_vs_signal_ma,4,24,execution,0.6078233352951199,-0.3360806177246307,55
2y,4h,4h,long_close_signal,5,30,signal,0.6193710077400665,-0.32165400798050425,49
2y,4h,4h,exec_close_vs_signal_ma,5,30,execution,0.615221093611064,-0.3216540079805039,49
2y,4h,4h,long_close_signal,7,42,signal,0.49507138833722575,-0.32839930863589684,43
2y,4h,4h,exec_close_vs_signal_ma,7,42,execution,0.49124001316212706,-0.32839930863589684,43
2y,4h,1d,long_close_signal,0,0,signal,0.7954147351308862,-0.23185575611819909,59
2y,4h,1d,exec_close_vs_signal_ma,0,0,execution,0.778129693584837,-0.22843263946814885,61
2y,4h,1d,long_close_signal,2,12,signal,0.7043808286797835,-0.3195717865168761,75
2y,4h,1d,exec_close_vs_signal_ma,2,2,execution,0.774269439210157,-0.24969632630661942,53
2y,4h,1d,long_close_signal,4,24,signal,0.4898680880481072,-0.3105138319356012,55
2y,4h,1d,exec_close_vs_signal_ma,4,4,execution,0.8293273216122907,-0.23698445900208998,41
2y,4h,1d,long_close_signal,5,30,signal,0.5583682151235803,-0.2674540374260064,49
2y,4h,1d,exec_close_vs_signal_ma,5,5,execution,0.6547524087472432,-0.2512506207386309,41
2y,4h,1d,long_close_signal,7,42,signal,0.791639295172198,-0.30056328268784094,43
2y,4h,1d,exec_close_vs_signal_ma,7,7,execution,0.636898946942186,-0.22810186403482258,39
2y,1d,1h,long_close_signal,0,0,signal,0.8103060985919524,-0.2493237718621525,61
2y,1d,1h,exec_close_vs_signal_ma,0,0,execution,0.28365225414913264,-0.3861892099657793,265
2y,1d,1h,long_close_signal,2,2,signal,0.6456891532071025,-0.2855825697618425,57
2y,1d,1h,exec_close_vs_signal_ma,2,48,execution,0.6046900286727377,-0.32728936976284184,81
2y,1d,1h,long_close_signal,4,4,signal,0.6608242663464956,-0.3033143897443408,45
2y,1d,1h,exec_close_vs_signal_ma,4,96,execution,0.6083177711746539,-0.32093229315475325,61
2y,1d,1h,long_close_signal,5,5,signal,0.5145824596794486,-0.2861278640247711,45
2y,1d,1h,exec_close_vs_signal_ma,5,120,execution,0.5085362077878735,-0.34764597143546705,55
2y,1d,1h,long_close_signal,7,7,signal,0.4165748416123951,-0.3184635026455953,41
2y,1d,1h,exec_close_vs_signal_ma,7,168,execution,0.569392920230821,-0.3209420895418653,43
2y,1d,4h,long_close_signal,0,0,signal,0.8103060985919524,-0.24825530392271755,61
2y,1d,4h,exec_close_vs_signal_ma,0,0,execution,0.41245764267218377,-0.36077178586726466,135
2y,1d,4h,long_close_signal,2,2,signal,0.6456891532071025,-0.284471965344788,57
2y,1d,4h,exec_close_vs_signal_ma,2,12,execution,0.4935267869350142,-0.35048727841776417,75
2y,1d,4h,long_close_signal,4,4,signal,0.6608242663464956,-0.3027083092291232,45
2y,1d,4h,exec_close_vs_signal_ma,4,24,execution,0.5330550021425904,-0.3349098486874347,55
2y,1d,4h,long_close_signal,5,5,signal,0.5145824596794486,-0.2816447401685416,45
2y,1d,4h,exec_close_vs_signal_ma,5,30,execution,0.4476696420958155,-0.3263013370273843,51
2y,1d,4h,long_close_signal,7,7,signal,0.4165748416123951,-0.3141834469098346,41
2y,1d,4h,exec_close_vs_signal_ma,7,42,execution,0.42154662678306587,-0.3283993086358966,43
2y,1d,1d,long_close_signal,0,0,signal,0.8075599552046098,-0.23148505954152265,61
2y,1d,1d,exec_close_vs_signal_ma,0,0,execution,0.8720497574961956,-0.22836565297889388,57
2y,1d,1d,long_close_signal,2,2,signal,0.64319272545424,-0.27573863222644013,57
2y,1d,1d,exec_close_vs_signal_ma,2,2,execution,0.8815890674471158,-0.24969632630661942,51
2y,1d,1d,long_close_signal,4,4,signal,0.6583048793875097,-0.30218741192656706,45
2y,1d,1d,exec_close_vs_signal_ma,4,4,execution,0.87252678709575,-0.2239224501862357,41
2y,1d,1d,long_close_signal,5,5,signal,0.5122849141928214,-0.2805599271125383,45
2y,1d,1d,exec_close_vs_signal_ma,5,5,execution,0.7304489543591044,-0.22901128380599378,41
2y,1d,1d,long_close_signal,7,7,signal,0.414425968757691,-0.30648635914917566,41
2y,1d,1d,exec_close_vs_signal_ma,7,7,execution,0.6728073433752375,-0.22810186403482258,39
3y,1h,1h,long_close_signal,0,0,signal,1.677967553382457,-0.40397353456742324,355
3y,1h,1h,exec_close_vs_signal_ma,0,0,execution,1.6818174989582038,-0.4030461579922133,353
3y,1h,1h,long_close_signal,2,48,signal,2.7297735250671424,-0.3578268369025628,109
3y,1h,1h,exec_close_vs_signal_ma,2,48,execution,2.7297735250671424,-0.3578268369025628,109
3y,1h,1h,long_close_signal,4,96,signal,2.6081552867100344,-0.32434083286747795,81
3y,1h,1h,exec_close_vs_signal_ma,4,96,execution,2.6081552867100344,-0.32434083286747795,81
3y,1h,1h,long_close_signal,5,120,signal,2.4335609252049184,-0.30668866654542504,75
3y,1h,1h,exec_close_vs_signal_ma,5,120,execution,2.473979725259975,-0.30668866654542526,75
3y,1h,1h,long_close_signal,7,168,signal,2.831440547415227,-0.2981927666046418,59
3y,1h,1h,exec_close_vs_signal_ma,7,168,execution,2.831440547415227,-0.2981927666046418,59
3y,1h,4h,long_close_signal,0,0,signal,1.9819387965141848,-0.36833463877437933,183
3y,1h,4h,exec_close_vs_signal_ma,0,0,execution,1.9883972754444232,-0.36784523224072274,185
3y,1h,4h,long_close_signal,2,48,signal,2.51245121736392,-0.39197017636469156,109
3y,1h,4h,exec_close_vs_signal_ma,2,12,execution,2.706143935544794,-0.34544632863750435,97
